bloque,ramo,mes,real,leg,mod
BRUTO,10,202602,35076068.530855745,36957464.20089494,37232147.798927985
BRUTO,10,202603,37556693.674268626,38867995.37006934,39261010.08521345
BRUTO,10,202604,38812450.15685107,41754650.34241563,42950467.15875735
BRUTO,10,202605,41409752.03949227,45185264.444759816,47025737.526365854
BRUTO,10,202606,42502125.73120136,51821607.79214594,48893499.96303224
BRUTO,10,202607,45085880.11858643,54673204.422145195,52863557.18379897
BRUTO,10,202608,0.0,0.0,63076705.72934108
BRUTO,10,202609,0.0,0.0,0.0
BRUTO,10,202610,0.0,0.0,0.0
BRUTO,10,202611,0.0,0.0,0.0
BRUTO,10,202612,0.0,0.0,0.0
BRUTO,30,202601,1158355.9032382132,1210177.6691941838,1141011.6229143038
BRUTO,30,202602,1221424.7257976534,1244147.5579854231,1169497.143045409
BRUTO,30,202603,937549.6139513088,988206.1744104192,924108.0890720867
BRUTO,30,202604,494451.25996061554,293138.23508812796,240323.62816445646
BRUTO,30,202605,708261.7285944141,464235.0596883737,395648.33352371305
BRUTO,30,202606,422423.46816316736,357856.0897989716,278748.26787426666
BRUTO,30,202607,341497.3967564822,248034.1703687013,186988.2619015366
BRUTO,30,202608,0.0,0.0,2878077.750756092
BRUTO,30,202609,0.0,0.0,0.0
BRUTO,30,202610,0.0,0.0,0.0
BRUTO,30,202611,0.0,0.0,0.0
BRUTO,30,202612,0.0,0.0,0.0
BRUTO,34,202601,2079997.3737234573,3096499.842242301,3020792.8908839165
BRUTO,34,202602,1971752.6323425295,2092713.106029428,2021985.9523091703
BRUTO,34,202603,2985887.8221721374,5205851.879945153,5127199.993464305
BRUTO,34,202604,3247813.258495145,5831277.343296504,5745673.1687039165
BRUTO,34,202605,3388827.4825404705,6164596.432754117,6074775.162093344
BRUTO,34,202606,3656431.681963128,6581113.611156622,6488309.523956604
BRUTO,34,202607,3288438.434936233,7798395.785838785,7695395.79099582
BRUTO,34,202608,0.0,0.0,3090767.654943685
BRUTO,34,202609,0.0,0.0,0.0
BRUTO,34,202610,0.0,0.0,0.0
BRUTO,34,202611,0.0,0.0,0.0
BRUTO,34,202612,0.0,0.0,0.0
BRUTO,37,202601,2084513.7984282523,8229359.9185964065,8342288.44266439
BRUTO,37,202602,2078389.9534581415,8636864.29135581,8751713.783687774
BRUTO,37,202603,2008879.4445808136,8669381.743235385,8779873.293469412
BRUTO,37,202604,2041220.4856658727,9210509.017560726,9323993.315267127
BRUTO,37,202605,1988864.3496865646,9647571.535923647,9754265.575582571
BRUTO,37,202606,1878057.2942978297,9838715.034073377,9794750.27865028
BRUTO,37,202607,1789600.4555243151,10199800.606148597,10179710.09471097
BRUTO,37,202608,0.0,0.0,10720718.793123579
BRUTO,37,202609,0.0,0.0,0.0
BRUTO,37,202610,0.0,0.0,0.0
BRUTO,37,202611,0.0,0.0,0.0
BRUTO,37,202612,0.0,0.0,0.0
BRUTO,40,202601,12992670.862968639,12248776.970820775,12866169.34464812
BRUTO,40,202602,17587243.994823523,16865813.18743461,17550031.150101643
BRUTO,40,202603,18272064.12871265,17693458.170438003,18365306.51523982
BRUTO,40,202604,19951691.052619524,19746075.90910693,20414393.80908202
BRUTO,40,202605,18214396.160345092,19011216.795915794,19688387.462987177
BRUTO,40,202606,18181793.006297644,19461151.472521033,19724900.242248807
BRUTO,40,202607,18334475.456534665,21114876.72415976,21495319.6273479
BRUTO,40,202608,0.0,0.0,20246306.25407102
BRUTO,40,202609,0.0,0.0,0.0
BRUTO,40,202610,0.0,0.0,0.0
BRUTO,40,202611,0.0,0.0,0.0
BRUTO,40,202612,0.0,0.0,0.0
BRUTO,50,202601,68120710.26228324,77900054.29433207,77496487.50069462
BRUTO,50,202602,69142636.2341717,75006482.23195173,74705403.43348011
BRUTO,50,202603,69112310.81047912,76015828.04045713,75768560.94291073
BRUTO,50,202604,69310402.75977743,77002744.73308152,76749301.24148333
BRUTO,50,202605,74186429.06442294,83786219.36813244,83544010.8604315
BRUTO,50,202606,76719647.67409964,88051593.42754784,86402019.40715882
BRUTO,50,202607,76503914.80771564,86184018.16577542,84860290.9078794
BRUTO,50,202608,0.0,0.0,79244963.805508
BRUTO,50,202609,0.0,0.0,0.0
BRUTO,50,202610,0.0,0.0,0.0
BRUTO,50,202611,0.0,0.0,0.0
BRUTO,50,202612,0.0,0.0,0.0
BRUTO,60,202601,96915593.4443545,121545928.61301827,122297876.80671617
BRUTO,60,202602,104893869.29920265,126250191.08111775,126907774.25237554
BRUTO,60,202603,104701687.86401267,125140783.87159705,125807745.99153875
BRUTO,60,202604,110820371.621405,133432383.47854343,134333764.37649187
BRUTO,60,202605,121820938.39251216,143885404.579354,144866907.5295328
BRUTO,60,202606,125282079.93039443,149320668.32908982,145909831.67080835
BRUTO,60,202607,131853013.275445,156496023.99966803,153887340.24835706
BRUTO,60,202608,0.0,0.0,121543431.02491352
BRUTO,60,202609,0.0,0.0,0.0
BRUTO,60,202610,0.0,0.0,0.0
BRUTO,60,202611,0.0,0.0,0.0
