fecha,local,visitante,gl,gv,fase
2011-04-23,Monterrey,Puebla,1,1,regular
2011-04-23,Santos,San Luis,1,3,regular
2011-04-23,Atlas,Chiapas,2,0,regular
2011-04-24,Toluca,Tecos,4,4,regular
2011-04-24,Morelia,Tigres,0,3,regular
2011-04-24,América,Atlante,1,1,regular
2011-04-29,Tecos,Santos,1,3,regular
2011-04-30,Chiapas,Querétaro,4,1,regular
2011-04-30,Chivas,Monterrey,2,3,regular
2011-04-30,Tigres,Atlas,3,0,regular
2011-04-30,Pachuca,Necaxa,1,1,regular
2011-04-30,San Luis,Cruz Azul,0,0,regular
2011-04-30,Atlante,Toluca,2,1,regular
2011-05-01,Puebla,Morelia,0,2,regular
2011-05-01,Pumas,América,0,2,regular
2011-05-04,Chivas,Tigres,3,1,liguilla
2011-05-04,Cruz Azul,Atlante,2,1,liguilla
2011-05-05,Monterrey,Pumas,3,1,liguilla
2011-05-05,América,Morelia,1,2,liguilla
2011-05-07,Tigres,Chivas,1,1,liguilla
2011-05-07,Atlante,Cruz Azul,0,0,liguilla
2011-05-08,Pumas,Monterrey,2,0,liguilla
2011-05-08,Morelia,América,3,2,liguilla
2011-05-12,Chivas,Pumas,1,1,liguilla
2011-05-12,Cruz Azul,Morelia,2,0,liguilla
2011-05-15,Pumas,Chivas,2,0,liguilla
2011-05-15,Morelia,Cruz Azul,3,0,liguilla
2011-05-19,Morelia,Pumas,1,1,liguilla
2011-05-22,Pumas,Morelia,2,1,liguilla
2011-07-22,Tecos,Toluca,1,2,regular
2011-07-23,Pachuca,Santos,1,4,regular
2011-07-23,Tigres,Cruz Azul,1,1,regular
2011-07-23,Tijuana,Morelia,1,2,regular
2011-07-23,Atlas,Puebla,0,1,regular
2011-07-23,Atlante,Chivas,0,2,regular
2011-07-24,Pumas,San Luis,2,0,regular
2011-07-24,América,Querétaro,2,1,regular
2011-07-24,Chiapas,Monterrey,1,4,regular
2011-07-30,Cruz Azul,Atlas,2,1,regular
2011-07-30,Querétaro,Tigres,0,0,regular
2011-07-30,Monterrey,Tijuana,4,2,regular
2011-07-30,Santos,Atlante,3,0,regular
2011-07-30,San Luis,Tecos,2,1,regular
2011-07-31,Morelia,Pumas,0,1,regular
2011-07-31,Puebla,Pachuca,2,2,regular
2011-07-31,Toluca,América,1,1,regular
2011-07-31,Chivas,Chiapas,2,1,regular
2011-08-03,América,Tecos,1,2,regular
