Ramo,CohorteAAAAMM,Antiguedad,PrimaDevAcum
LN04003,201201,170,1618.5
LN04003,201201,171,1618.5
LN04003,201201,172,17420.252416
LN04003,201201,173,18349.681775999998
LN04003,201201,174,18349.681775999998
LN04003,201204,165,0.0
LN04003,201204,167,0.0
LN04003,201204,171,0.0
LN04003,201206,164,0.0
LN04003,201206,168,0.0
LN04003,201207,163,1594.0313084
LN04003,201207,165,2652.9524954
LN04003,201207,166,2883.1945977
LN04003,201207,167,10326.0846803
LN04003,201207,168,7811.7377419
LN04003,201208,162,362.5963041
LN04003,201208,167,3884.1231521
LN04003,201210,163,0.0
LN04003,201210,165,0.0
LN04003,201212,158,0.0
LN04003,201301,157,1661.07
LN04003,201301,158,-658.4965980000004
LN04003,201301,159,-654.5336740000004
LN04003,201301,160,285.11307799999963
LN04003,201301,161,5841.485536999999
LN04003,201301,162,5841.485536999999
LN04003,201304,153,0.0
LN04003,201304,155,0.0
LN04003,201304,158,18768.915
LN04003,201304,159,22659.09051
LN04003,201307,151,2011.6067175
LN04003,201307,153,17507.9889982
LN04003,201307,154,25407.0820674
LN04003,201307,155,29642.040764600002
LN04003,201307,156,29679.6353929
LN04003,201308,150,1564.1401676
LN04003,201308,155,2916.9250136
LN04003,201310,153,0.0
LN04003,201311,148,76.99079880000001
LN04003,201311,149,2276.8074848
LN04003,201311,150,2350.139054
LN04003,201311,152,7711.345886
LN04003,201312,146,0.0
LN04003,201401,145,7353.98
LN04003,201401,146,197633.202094
LN04003,201401,147,197677.302094
LN04003,201401,148,204644.08244600001
LN04003,201401,149,246450.196541
LN04003,201401,150,246450.196541
LN04003,201403,143,0.0
LN04003,201403,147,1096.7991116
LN04003,201404,141,25237.96072
LN04003,201404,143,25237.96072
LN04003,201404,146,49057.420119999995
LN04003,201404,147,52079.4646
LN04003,201407,139,86020.5788501
LN04003,201407,141,86472.5005448
LN04003,201407,142,87156.0946434
LN04003,201407,143,94018.51703860001
LN04003,201407,144,103488.8440029
LN04003,201410,141,-24977.42016
LN04003,201411,135,136.164738
LN04003,201411,136,136.164738
LN04003,201411,138,218.27377819999998
LN04003,201411,139,218.27377819999998
LN04003,201412,134,-4.327674
LN04003,201501,132,20777.7400551
LN04003,201501,133,21293.907542099998
LN04003,201501,134,21293.907542099998
LN04003,201501,135,26377.8626071
LN04003,201501,136,58023.547119099996
LN04003,201501,137,59378.1557311
LN04003,201501,138,59378.1557311
LN04003,201503,132,242062.6475088
LN04003,201503,135,267583.9499598
LN04003,201504,129,36773.9106
LN04003,201504,131,75600.29373
LN04003,201504,132,86323.68699
LN04003,201504,134,100428.81099
LN04003,201504,135,129280.23917999989
LN04003,201507,126,2345.5977926
LN04003,201507,127,4073.8426018
LN04003,201507,128,252154.38070779998
LN04003,201507,129,252429.40881479997
LN04003,201507,130,261152.78532789997
LN04003,201507,131,284979.1140829
LN04003,201507,132,287453.31024779996
LN04003,201510,123,0.0
LN04003,201510,127,0.0
LN04003,201510,129,7523.0624414
LN04003,201511,123,170.5081126
LN04003,201511,124,170.5081126
LN04003,201511,126,276.97845670000004
LN04003,201601,120,13401.2077875
LN04003,201601,121,15676.6477875
LN04003,201601,122,15650.972405499999
LN04003,201601,123,16174.6255565
LN04003,201601,124,19960.4638925
LN04003,201601,125,1452681.2499639
LN04003,201601,126,1452681.2499639
LN04003,201602,119,0.0
LN04003,201602,122,0.0
LN04003,201603,120,0.0
LN04003,201603,123,0.0
LN04003,201604,117,92329.18016
LN04003,201604,118,92875.56016000001
LN04003,201604,119,118983.09001
LN04003,201604,121,120901.74001000001
LN04003,201604,122,219026.44663720002
LN04003,201604,123,221719.8689272
LN04003,201605,116,-9438.4851288
LN04003,201607,115,37774.0858333
LN04003,201607,116,76227.01985129999
LN04003,201607,117,81613.3002457
LN04003,201607,118,91388.3091763
LN04003,201607,119,118819.7962871
LN04003,201607,120,139629.0831193
LN04003,201609,112,7692.0
LN04003,201609,115,219227.0
LN04003,201610,112,1179.790512
LN04003,201610,116,7594.587106000001
LN04003,201610,117,46473.130986
LN04003,201611,111,340.84580900000003
LN04003,201611,112,340.84580900000003
LN04003,201611,114,488.415435
LN04003,201701,109,10477.0144542
LN04003,201701,110,13014.5693222
LN04003,201701,111,14339.3706112
LN04003,201701,112,39507.4061152
LN04003,201701,113,1068629.2739424
LN04003,201701,114,1068629.2739424002
LN04003,201702,107,0.0
LN04003,201702,110,0.0
LN04003,201704,105,752303.8694458
LN04003,201704,107,888516.2045458
LN04003,201704,110,934926.6125457999
LN04003,201704,111,939160.2704157999
LN04003,201705,108,1223.3594024
LN04003,201705,110,-11887.589844600001
LN04003,201707,102,17961.9857077
LN04003,201707,103,54516.5247295
LN04003,201707,104,55919.39616150001
LN04003,201707,105,70499.13763580001
LN04003,201707,106,179166.1335684
LN04003,201707,107,202701.4034295
LN04003,201707,108,206751.6006655
LN04003,201708,104,-187.7518905
LN04003,201708,106,72.38038749999998
LN04003,201709,100,278793.63
LN04003,201709,103,407269.63
LN04003,201709,106,609720.53
LN04003,201710,102,42227.553347
LN04003,201710,104,44709.268459
LN04003,201711,99,3103.2089095
LN04003,201711,100,3103.2089095
LN04003,201711,102,3717.9185507
LN04003,201712,97,1302.8474808
LN04003,201712,98,6071.63882
LN04003,201712,99,20173.6360904
LN04003,201712,102,26039.3790839
LN04003,201801,96,-403677.27384320006
LN04003,201801,97,-147578.9992258001
LN04003,201801,98,-112711.1411978001
LN04003,201801,99,-108340.38763480009
LN04003,201801,100,-67247.7095548001
LN04003,201801,101,-1348869.8199315
LN04003,201801,102,-1347952.1568914999
LN04003,201802,97,0.0
LN04003,201803,94,0.0
LN04003,201803,95,90.5149662
LN04003,201803,96,-1.2051225999999957
