PERIODO,RAM,RRC BEL,RRC BRUTO,RRC GTO,RRC IRR,RRC MR,RRC NETO,SONR BEL,SONR BRUTO,SONR IRR,SONR MR,SONR NETO,IRR/BEL,GTO/BEL,MR/BEL,chk,chk2
202208,RAM_34,5235150.608642122,6584050.924381428,76219.80420191429,0.0,1272680.5115373922,6584050.924381428,6140503.002998531,6957122.418980102,-10658.310993288056,816619.415981572,6967780.729973391,0.0,0.014559238100254763,0.24310294138175642,-9.313225746154785e-10,0.0
202208,RAM_37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
202208,RAM_40,7730569.186127327,9433146.543250326,308422.2045156678,2909449.073136344,1394155.1526073315,6523697.470113982,5031572.046149569,5615833.641129512,1817202.780590969,584261.5949799436,3798630.860538543,0.3763563850327364,0.03989644191648114,0.18034314408687693,0.0,-9.313225746154785e-10
202208,RAM_50,11144881.991441282,12468548.076770326,468762.8256682156,817451.2535247628,854903.2596608285,11651096.823245564,12279717.381548116,12617982.525616584,785896.9086341793,338265.1440684697,11832085.616982406,0.07334768139784027,0.0420608155409992,0.07670814821703378,0.0,-1.862645149230957e-09
202208,RAM_60,52969094.977461375,58065219.15584416,2659275.6518328767,11720698.90434489,2436848.5265499023,46344520.25149927,26168115.54618929,26626714.335855275,3635377.723996188,458598.7896659914,22991336.611859087,0.2212742904014522,0.05020428710296848,0.04600510028700309,0.0,-7.450580596923828e-09
202208,RAM_71,6010991.193554153,6010991.193554153,0.0,1743402.8059096865,0.0,4267588.387644466,0.0,0.0,0.0,0.0,0.0,0.2900358276650302,0.0,0.0,0.0,0.0
202208,RAM_73,11266995.973827396,11266995.973827396,0.0,3575558.049862981,0.0,7691437.923964415,0.0,0.0,0.0,0.0,0.0,0.3173479477731955,0.0,0.0,0.0,0.0
202208,RAM_80,11675382.681996902,12778868.463799195,441571.2061638667,769562.7477262798,661914.5756384288,12009305.716072915,2.8896928449038586e-12,2.5284812392908764e-12,0.0,-3.612116056129823e-13,2.5284812392908764e-12,0.06591327827848614,0.03782070517009747,0.05669318031511564,1.862645149230957e-09,0.0
202208,RAM_90,7494821.805373525,8764791.652766194,225594.33108939987,523554.6482187536,1044375.5163032688,8241237.00454744,10174465.144068468,10596506.007486396,1463905.368064657,422040.8634179276,9132600.63942174,0.06985551649051658,0.030100025984294464,0.13934627712622707,0.0,0.0
202209,RAM_10,16361467.581519444,17820364.98402651,569746.2242449236,1315623.133486692,889151.1782621441,16504741.850539818,14377178.053470196,14650496.367584003,1208172.9484128363,273318.3141138068,13442323.419171168,0.0804098487456413,0.03482244006573479,0.054344219051991126,0.0,0.0
202209,RAM_100,1207373.0249265917,1571165.7317745727,326601.778199542,270783.78802708787,37190.92864843917,1300381.9437474848,45721.1401543193,54718.88995434016,0.0,8997.749800020867,54718.88995434016,0.22427516801905653,0.27050610826707794,0.0308031800285586,2.3283064365386963e-10,0.0
202209,RAM_110,16179255.462535584,18543415.99932429,972398.6560408605,2269642.198826458,1391761.880747848,16273773.800497834,12960782.877314664,13233897.3200312,2134540.9482737207,273114.44271653646,11099356.37175748,0.14028100391158319,0.06010157008105414,0.08602137990654692,3.725290298461914e-09,-3.725290298461914e-09
